ym,tickets,breaches,compliance_rate,avg_breach_prob,high_risk_tickets,sla_target,compliance_pct
2023-01,591,246.0,0.5838,0.500142978003384,0,0.99,58.379999999999995
2023-02,535,214.0,0.6,0.5000523364485981,0,0.99,60.0
2023-03,586,235.0,0.599,0.49991535836177475,0,0.99,59.9
2023-04,529,209.0,0.6049,0.5002291115311909,0,0.99,60.49
2023-05,585,239.0,0.5915,0.5000309401709402,0,0.99,59.150000000000006
2023-06,583,214.0,0.6329,0.5000756432246999,0,0.99,63.29
2023-07,603,223.0,0.6302,0.5001935323383084,0,0.99,63.019999999999996
2023-08,616,251.0,0.5925,0.49998603896103894,0,0.99,59.25
2023-09,538,213.0,0.6041,0.5000016728624536,0,0.99,60.41
2023-10,645,269.0,0.5829,0.4999640310077519,0,0.99,58.29
2023-11,546,217.0,0.6026,0.4999318681318682,0,0.99,60.260000000000005
2023-12,594,246.0,0.5859,0.5000680134680134,0,0.99,58.589999999999996
2024-01,678,270.0,0.6018,0.4998589970501475,0,0.99,60.18
2024-02,637,281.0,0.5589,0.499889010989011,0,0.99,55.88999999999999
2024-03,681,253.0,0.6285,0.4999706314243759,0,0.99,62.849999999999994
2024-04,658,262.0,0.6018,0.4999521276595745,0,0.99,60.18
2024-05,686,249.0,0.637,0.4998798833819242,0,0.99,63.7
2024-06,619,258.0,0.5832,0.49989176090468496,0,0.99,58.32000000000001
2024-07,652,262.0,0.5982,0.49991641104294476,0,0.99,59.81999999999999
2024-08,702,265.0,0.6225,0.49989658119658115,0,0.99,62.25000000000001
2024-09,692,260.0,0.6243,0.49991329479768787,0,0.99,62.43
2024-10,701,253.0,0.6391,0.49988958630527813,0,0.99,63.91
2024-11,657,247.0,0.624,0.4998779299847793,0,0.99,62.4
2024-12,669,262.0,0.6084,0.4999615844544095,0,0.99,60.84
2025-01,621,234.0,0.6232,0.4999281803542673,0,0.99,62.32
2025-02,574,223.0,0.6115,0.49997212543554004,0,0.99,61.150000000000006
2025-03,632,241.0,0.6187,0.49993006329113926,0,0.99,61.870000000000005
2025-04,652,257.0,0.6058,0.49992315950920246,0,0.99,60.58
2025-05,624,242.0,0.6122,0.4999083333333333,0,0.99,61.22
2025-06,613,232.0,0.6215,0.4999127243066884,0,0.99,62.150000000000006
2025-07,631,273.0,0.5674,0.4999226624405705,0,0.99,56.74
2025-08,656,259.0,0.6052,0.4999236280487805,0,0.99,60.519999999999996
2025-09,589,243.0,0.5874,0.49991748726655344,0,0.99,58.74
2025-10,657,286.0,0.5647,0.49995327245053267,0,0.99,56.47
2025-11,601,267.0,0.5557,0.4999357737104825,0,0.99,55.57
2025-12,621,236.0,0.62,0.49992109500805154,0,0.99,62.0
