ym,tickets,breach_rate
2023-01,591,0.41624365482233505
2023-02,536,0.4
2023-03,587,0.40102389078498296
2023-04,529,0.3950850661625709
2023-05,587,0.40854700854700854
2023-06,583,0.3670668953687822
2023-07,603,0.36981757877280264
2023-08,616,0.4074675324675325
2023-09,539,0.395910780669145
2023-10,646,0.4170542635658915
2023-11,546,0.3974358974358974
2023-12,594,0.41414141414141414
2024-01,679,0.39823008849557523
2024-02,637,0.4411302982731554
2024-03,681,0.37151248164464024
2024-04,659,0.3981762917933131
2024-05,686,0.3629737609329446
2024-06,619,0.4168012924071082
2024-07,653,0.401840490797546
2024-08,702,0.37749287749287747
2024-09,692,0.37572254335260113
2024-10,702,0.3609129814550642
2024-11,657,0.3759512937595129
2024-12,669,0.39162929745889385
2025-01,621,0.37681159420289856
2025-02,574,0.3885017421602787
2025-03,632,0.3813291139240506
2025-04,652,0.3941717791411043
2025-05,625,0.38782051282051283
2025-06,614,0.37846655791190864
2025-07,632,0.4326465927099842
2025-08,656,0.3948170731707317
2025-09,591,0.41256366723259763
2025-10,657,0.4353120243531202
2025-11,601,0.4442595673876872
2025-12,621,0.38003220611916266
